,titol,descripcio,origen
295,Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per inscripció indeguda o caducitat segons nacionalitat ,"
Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per inscripció indeguda o caducitat segons nacionalitat
",barcelona
296,Migracions. Baixes al Padró d'habitants  de la ciutat de Barcelona per inscripció indeguda o caducitat segons sexe ,"
Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per inscripció indeguda o caducitat segons sexe
",barcelona
297,Canvis de domicili de la població de la ciutat de Barcelona,"
Canvis de domicili de la població de la ciutat de Barcelona
",barcelona
298,Migracions. Edat mitjana de la població que ha canviat de domicili al Padró d'habitants de la ciutat de Barcelona,"
Migracions. Edat mitjana de la població que ha canviat de domicili al Padró d'habitants de la ciutat de Barcelona
",barcelona
299,Migracions. Canvis de domicili al Padró d'habitants de la ciutat de Barcelona segons nacionalitat espanyola o estrangera ,"
Migracions. Canvis de domicili al Padró d'habitants de la ciutat de Barcelona segons nacionalitat espanyola o estrangera
",barcelona
300,Migracions. Canvis de domicili al Padró d'habitants de la ciutat de Barcelona segons sexe,"
Migracions. Canvis de domicili al Padró d'habitants de la ciutat de Barcelona segons sexe
",barcelona
301,Migracions. Canvis de nacionalitat al Padró d'habitants  de la ciutat de Barcelona segons sexe ,"
Migracions. Canvis de nacionalitat al Padró d'habitants  de la ciutat de Barcelona segons sexe
",barcelona
302,Defuncions. Baixes al Padró d'habitants  de la ciutat de Barcelona per defunció segons edat quinquennal ,"
Defuncions. Baixes al Padró d'habitants  de la ciutat de Barcelona per defunció segons edat quinquennal
",barcelona
303,Defuncions. Baixes al Padró d'habitants de la ciutat de Barcelona per defunció segons lloc de naixement,"
Defuncions. Baixes al Padró d'habitants de la ciutat de Barcelona per defunció segons lloc de naixement
",barcelona
304,Defuncions. Baixes al Padró d'habitants de la ciutat de Barcelona per defunció segons nacionalitat ,"
Defuncions. Baixes al Padró d'habitants de la ciutat de Barcelona per defunció segons nacionalitat
",barcelona
305,Defuncions. Baixes al Padró d'habitants  de la ciutat de Barcelona per defunció segons sexe ,"
Defuncions. Baixes al Padró d'habitants  de la ciutat de Barcelona per defunció segons sexe
",barcelona
306,Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per emigració segons edat quinquennal ,"
Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per emigració segons edat quinquennal
",barcelona
307,Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per emigració segons lloc de destinació ,"
Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per emigració segons lloc de destinació
",barcelona
308,Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per emigració segons nacionalitat,"
Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per emigració segons nacionalitat
",barcelona
309,Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per emigració segons sexe ,"
Migracions. Baixes al Padró d'habitants de la ciutat de Barcelona per emigració segons sexe
",barcelona
310,Migracions.  Altes al Padró d'habitants de la ciutat de Barcelona per immigració segons edat quinquennal ,"
Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per immigració segons edat quinquennal
",barcelona
311,Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per immigració segons lloc de procedència,"
Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per immigració segons lloc de procedència
",barcelona
312,Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per immigració segons nacionalitat,"
Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per immigració segons nacionalitat
",barcelona
313,Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per immigració segons sexe,"
Migracions. Altes al Padró d'habitants de la ciutat de Barcelona per immigració segons sexe
",barcelona
314,Naixements. Altes al Padró d'habitants  de la ciutat de Barcelona per naixement segons lloc de naixement de la mare,"
Naixements. Altes al Padró d'habitants  de la ciutat de Barcelona per naixement segons lloc de naixement de la mare
",barcelona
315,Naixements. Altes al Padró d'habitants de la ciutat de Barcelona per naixement segons sexe,"
Naixements. Altes al Padró d'habitants de la ciutat de Barcelona per naixement segons sexe
",barcelona
316,Indicadors demogràfics. Taxa d'alta per omissió de la ciutat de Barcelona,"
Indicadors demogràfics. Taxa d'alta per omissió de la ciutat de Barcelona
",barcelona
317,Indicadors demogràfics. Taxa de baixa per inscripció indeguda o caducitat (‰ habitants) de la ciutat de Barcelona,"
Indicadors demogràfics. Taxa de baixa per inscripció indeguda o caducitat (‰ habitants) de la ciutat de Barcelona
",barcelona
318,Indicadors demogràfics. Taxa de baixa per emigració (‰ habitants) de la ciutat de Barcelona,"
Indicadors demogràfics. Taxa de baixa per emigració (‰ habitants) de la ciutat de Barcelona
",barcelona
319,Indicadors demogràfics. Taxa d'alta per immigració (‰ habitants) de la ciutat de Barcelona,"
Indicadors demogràfics. Taxa d'alta per immigració (‰ habitants) de la ciutat de Barcelona
",barcelona
320,Indicadors demogràfics. Taxa de canvis de domicili (‰ habitants) de la ciutat de Barcelona,"
Indicadors demogràfics. Taxa de canvis de domicili (‰ habitants) de la ciutat de Barcelona
",barcelona
321,Indicadors demogràfics. Taxa de mortalitat (‰ habitants) de la ciutat de Barcelona,"
Indicadors demogràfics. Taxa de mortalitat (‰ habitants) de la ciutat de Barcelona
",barcelona
322,Indicadors demogràfics. Taxa de natalitat (‰ habitants) de la ciutat de Barcelona,"
Indicadors demogràfics. Taxa de natalitat (‰ habitants) de la ciutat de Barcelona
",barcelona
323,Indicadors demogràfics. Densitat de població (habitants/ha) de la ciutat  de Barcelona,"
Indicadors demogràfics. Densitat de població (habitants/ha) de la ciutat  de Barcelona
",barcelona
324,Resultats absoluts de les eleccions al Parlament de Catalunya de la ciutat de Barcelona,"
Resultats absoluts de les eleccions al Parlament de Catalunya de la ciutat de Barcelona
",barcelona
325,Resultats absoluts de les eleccions al Parlament Europeu de la ciutat de Barcelona,"
Resultats absoluts de les eleccions al Parlament Europeu de la ciutat de Barcelona
",barcelona
326,Resultats absoluts de les Eleccions Generals de la ciutat de Barcelona,"
Resultats absoluts de les Eleccions Generals de la ciutat de Barcelona
",barcelona
327,Resultats absoluts de les eleccions locals de la ciutat de Barcelona,"
Resultats absoluts de les eleccions locals de la ciutat de Barcelona
",barcelona
328,Xifres oficials de població. Població de la ciutat de Barcelona segons edat i sexe  ,"
Xifres oficials de població. Població de la ciutat de Barcelona segons edat i sexe
",barcelona
329,Xifres oficials de població. Població de la ciutat de Barcelona segons CCAA i províncies ,"
Xifres oficials de població. Població de la ciutat de Barcelona segons CCAA (Comunitats autònomes) i províncies
",barcelona
330,Població oficial per nacionalitat i sexe de la ciutat de Barcelona,"
Les dades fan referència a la lectura del padró de la població resident a Barcelona a 1 de gener de cada any, aprovades per l'INE (Institut Nacional d'Estadística) i classificades per nacionalitat i per sexe.
",barcelona
331,Xifres oficials de població . Població de la ciutat de Barcelona segons sexe ,"
Xifres oficials de població . Població de la ciutat de Barcelona segons sexe
",barcelona
332,Compravenda d'habitatges registrades de la ciutat de Barcelona,"
Compravendes d'habitatges registrades a la ciutat de Barcelona.
",barcelona
333,Preu de compravenda d'habitatges registrades de la ciutat de Barcelona ,"
Preu de compravenda d'habitatges registrades de la ciutat de Barcelona
",barcelona
334,Compravenda d'habitatges registrades de la ciutat de Barcelona. Superfície mitjana,"
Compravenda d'habitatges registrades de la ciutat de Barcelona. Superfície mitjana
",barcelona
335,Lloguer mitjà mensual (€/mes) i per superfície (€/m2 mes) de la ciutat de Barcelona,"
Lloguer mitjà mensual (€/mes) i per superfície (€/m2 mes) de la ciutat de Barcelona
",barcelona
336,Nombre de contractes de lloguer realitzats a la ciutat de Barcelona,"
Nombre de contractes de lloguer realitzats a la ciutat de Barcelona
",barcelona
337,Superfície mitjana de l'habitatge llogat de la ciutat de Barcelona (m2 construits),"
Superfície mitjana de l'habitatge llogat de la ciutat de Barcelona (m2 construits)
",barcelona
338,Naixements. Rànquing dels 25 noms de nadons més freqüents de la ciutat de Barcelona,"
Naixements. Rànquing dels 25 noms de nadons més freqüents de la ciutat de Barcelona
",barcelona
339,Padró d'habitants. Rànquing dels 50 noms més freqüents  a la ciutat de Barcelona per sexe i dècada de naixement ,"
Freqüència dels 50 noms més comuns dels homes i dones residents a la ciutat de Barcelona, agrupats segons la dècada de naixement de la població empadronada.
",barcelona
340,Padró d'habitants. Població  de la ciutat de Barcelona segons sexe i any d'alta al Padró ,"
Padró d'habitants. Població de la ciutat de Barcelona segons sexe i any d'alta al Padró
",barcelona
341,Padró d'habitants. Domicilis de la ciutat de Barcelona amb persones de 18 a 64 anys ,"
Padró d'habitants. Domicilis de la ciutat de Barcelona amb persones de 18 a 64 anys
",barcelona
342,Padró d'habitants. Domicilis  de la ciutat de Barcelona amb persones de 65 anys o més ,"
Padró d'habitants. Domicilis  de la ciutat de Barcelona amb persones de 65 anys o més
",barcelona
343,Padró d'habitants. Edat mitjana de les persones residents en els domicilis de la ciutat de Barcelona segons nacionalitat,"
Padró d'habitants. Edat mitjana de les persones residents en els domicilis de la ciutat de Barcelona segons nacionalitat
",barcelona
344,Padró d'habitants. Domicilis de la ciutat de Barcelona segons estructura,"
Padró d'habitants. Domicilis de la ciutat de Barcelona segons estructura
",barcelona
345,Padró d'habitants. Domicilis de la ciutat de Barcelona amb persones menors de 18 anys ,"
Padró d'habitants. Domicilis de la ciutat de Barcelona amb persones menors de 18 anys
",barcelona
346,Padró d'habitants. Domicilis de la ciutat de Barcelona segons la nacionalitat de les persones que hi viuen ,"
Padró d'habitants. Domicilis de la ciutat de Barcelona segons la nacionalitat de les persones que hi viuen
",barcelona
347,"Padró d'habitants. Domicilis de la ciutat de Barcelona segons la nacionalitat, espanyola o estrangera, de les persones  que hi viuen ","
Padró d'habitants. Domicilis de la ciutat de Barcelona segons la nacionalitat, espanyola o estrangera, de les persones  que hi viuen
",barcelona
348,Padró d'habitants. Domicilis  de la ciutat de Barcelona segons el nombre de persones que hi viuen ,"
Padró d'habitants. Domicilis  de la ciutat de Barcelona segons el nombre de persones que hi viuen
",barcelona
349,Padró d'habitants. Domicilis  de la ciutat de Barcelona segons el sexe de les persones que hi viuen ,"
Padró d'habitants. Domicilis  de la ciutat de Barcelona segons el sexe de les persones que hi viuen
",barcelona
350,Padró d'habitants. Població  de la ciutat de Barcelona segons sexe i edat any a any,"
Padró d'habitants. Població  de la ciutat de Barcelona segons sexe i edat any a any
",barcelona
351,"Padró d'habitants. Població de la ciutat de Barcelona segons sexe, edat quinquennal i nacionalitat ","
Padró d'habitants. Població de la ciutat de Barcelona segons sexe, edat quinquennal i nacionalitat
",barcelona
352,Padró d'habitants. Població de la ciutat de Barcelona segons sexe i lloc de naixement ,"
Padró d'habitants. Població de la ciutat de Barcelona segons sexe i lloc de naixement
",barcelona
353, Padró d'habitants. Població  de la ciutat de Barcelona segons sexe i nacionalitat ,"
Padró d'habitants. Població  de la ciutat de Barcelona segons sexe i nacionalitat
",barcelona
354,Padró d'habitants. Població de la ciutat de Barcelona segons sexe i nivell acadèmic ,"
Padró d'habitants. Població de la ciutat de Barcelona segons sexe i nivell acadèmic
",barcelona
355,Padró d'habitants. Ocupació mitjana als domicilis de la ciutat de Barcelona,"
Padró d'habitants. Ocupació mitjana als domicilis (persones/domicili) de la ciutat de Barcelona.
",barcelona
356,Padró d'habitants. Població  de la ciutat de Barcelona segons sexe ,"
Padró d'habitants. Població  de la ciutat de Barcelona segons sexe
",barcelona
357,Padró d'habitants. Població que viu sola  a la ciutat de Barcelona segons sexe i edat quinquennal ,"
Padró d'habitants. Població que viu sola  a la ciutat de Barcelona segons sexe i edat quinquennal
",barcelona
358,Distribució territorial de la renda familiar a la ciutat de Barcelona,"
Distribució territorial de la renda familiar a la ciutat de Barcelona.
",barcelona
359,Persones amb reconeixement legal de discapacitat de la ciutat de Barcelona agrupades per grau de discapacitat,"
Persones amb reconeixement legal de discapacitat de la ciutat de Barcelona agrupades per grau de discapacitat.
",barcelona
360,Persones  amb reconeixement legal de discapacitat de la ciutat de Barcelona agrupades per edat,"
Persones  amb reconeixement legal de discapacitat de la ciutat de Barcelona agrupades per edat
",barcelona
361,Persones amb reconeixement legal de discapacitat de la ciutat de Barcelona agrupades per sexe,"
Persones amb reconeixement legal de discapacitat de la ciutat de Barcelonaagrupades per sexe.
",barcelona
362,Persones  amb reconeixement legal de discapacitat de la ciutat de Barcelona agrupades per tipus de discapacitat,"
Persones  amb reconeixement legal de discapacitat de la ciutat de Barcelona agrupades per tipus de discapacitat.
",barcelona
363,Defuncions de la ciutat de Barcelona,"
Defuncions de la ciutat de Barcelona.
",barcelona
364,Defuncions de dones a la ciutat de Barcelona ,"
Defuncions de dones a la ciutat de Barcelona
",barcelona
365,Defuncions d'homes de la ciutat de Barcelona,"
Defuncions d'homes de la ciutat de Barcelona
",barcelona
366,Esperança de vida de la ciutat de Barcelona,"
Esperança de vida de la ciutat de Barcelona.
",barcelona
367,Esperança de vida en dones de la ciutat de Barcelona  ,"
Esperança de vida en dones de la ciutat de Barcelona
",barcelona
368,Esperança de vida en homes de la ciutat de Barcelona,"
Esperança de vida en homes de la ciutat de Barcelona.
",barcelona
369,Fecunditat  en mares de  15 a 19 anys  de la ciutat de Barcelona ,"
Fecunditat  en mares de  15 a 19 anys  de la ciutat de Barcelona
",barcelona
370,Fecunditat  en mares de  15 a 49 anys  de la ciutat de Barcelona ,"
Fecunditat  en mares de 15 a 49 anys de la ciutat de Barcelona
",barcelona
371,Fecunditat  en mares de  20 a 34 anys  de la ciutat de Barcelona ,"
Fecunditat  en mares de  20 a 34 anys  de la ciutat de Barcelona
",barcelona
372,Fecunditat  en mares de 35 a 49 anys de la ciutat de Barcelona ,"
Fecunditat  en mares de 35 a 49 anys de la ciutat de Barcelona
",barcelona
373,Taxa bruta de mortalitat de la ciutat de Barcelona,"
Taxa bruta de mortalitat de la ciutat de Barcelona.
",barcelona
374,Taxa bruta de mortalitat de dones de la ciutat de Barcelona,"
Taxa bruta de mortalitat de dones  de la ciutat de Barcelona
",barcelona
375,Taxa bruta de mortalitat d'homes de la ciutat de Barcelona,"
Taxa bruta de mortalitat d'homes de la ciutat de Barcelona.
",barcelona
376,Taxa específica de fecunditat en mares de 15 a 19 anys  de la ciutat de Barcelona ,"
Taxa específica de fecunditat en mares de 15 a 19 anys de la ciutat de Barcelona
",barcelona
377,Taxa especifica de fecunditat en mares de 15 a 49 anys de la ciutat de Barcelona,"
Taxa especifica de fecunditat en mares de 15 a 49 anys de la ciutat de Barcelona
",barcelona
378,Taxa específica de fecunditat en mares de 20 a 34 anys  de la ciutat de Barcelona,"
Taxa específica de fecunditat en mares de 20 a 34 anys  de la ciutat de Barcelona.
",barcelona
379,Taxa especifica de fecunditat en mares de 35 a 49 anys de la ciutat de Barcelona,"
Taxa especifica de fecunditat en mares de 35 a 49 anys de la ciutat de Barcelona
",barcelona
380,"Taxa de mortalitat de dones, estandarditzada per edat,  de la ciutat de Barcelona","
Taxa de mortalitat de dones, estandarditzada per edat, de la ciutat de Barcelona
",barcelona
381,"Taxa de mortalitat, estandarditzada per edat, de la ciutat de Barcelona","
Taxa de mortalitat, estandarditzada per edat, de la ciutat de Barcelona.
",barcelona
382,"Taxa de mortalitat d'homes, estandarditzada per edat, de la ciutat de Barcelona","
Taxa de mortalitat d'homes, estandarditzada per edat, de la ciutat de Barcelona
",barcelona
383,Superfície dels barris de la ciutat de Barcelona,"
Superfície dels barris de la ciutat de Barcelona (h2).
",barcelona
384,Padró de vehicles. Tipologia del parc de vehicles  de la ciutat de Barcelona segons distintiu ambiental,"
Padró de vehicles. Tipologia del parc de vehicles  de la ciutat de Barcelona segons distintiu ambiental
",barcelona
385,Antiguitat del parc de vehicles de menys d'un any  de la ciutat de Barcelona,"
Antiguitat del parc de vehicles de menys d'un any  de la ciutat de Barcelona
",barcelona
386,Antiguitat de les motos de la ciutat de Barcelona,"
Antiguitat de les motos de la ciutat de Barcelona
",barcelona
387,Padró de vehicles. Antiguitat per tipus de vehicle del parc de vehicles de la ciutat de Barcelona,"
Padró de vehicles. Antiguitat per tipus de vehicle del parc de vehicles de la ciutat de Barcelona
",barcelona
388,Antiguitat dels turismes de la ciutat de Barcelona,"
Antiguitat dels turismes de la ciutat de Barcelona
",barcelona
389,Padró de vehicles. Cilindrada de les motos de la ciutat de Barcelona,"
Padró de vehicles. Cilindrada de les motos de la ciutat de Barcelonana
",barcelona
390,Padró de vehicles. Nacionalitat dels propietaris del parc de vehicles de la ciutat de Barcelona,"
Padró de vehicles. Nacionalitat dels propietaris del parc de vehicles de la ciutat de Barcelona
",barcelona
391,Nacionalitat dels propietaris de motos de la ciutat de Barcelona,"
Nacionalitat dels propietaris de motos de la ciutat de Barcelona
",barcelona
392,Padró de vehicles. Potència fiscal dels turismes de la ciutat de Barcelona,"
Padró de vehicles. Potència fiscal dels turismes de la ciutat de Barcelona
",barcelona
393,Padró de vehicles. Tipologia del parc de vehicles de la ciutat de Barcelona,"
Padró de vehicles. Tipologia del parc de vehicles de la ciutat de Barcelona
",barcelona
394,Padró de vehicles. Tipus de propietari del parc de vehicles de la ciutat de Barcelona,"
Padró de vehicles. Tipus de propietari del parc de vehicles de la ciutat de Barcelona
",barcelona
395,Tipus de propietari de les motos per barris de la ciutat de Barcelona,"
Tipus de propietari de les motos per barris de la ciutat de Barcelonaciutat de Barcelona.
",barcelona
396,Estacionaments de l'Àrea de Distribució Urbana de Mercaderies (DUM) de la ciutat  de Barcelona,"
Nombre d'estacionaments realitzats el dia anterior a la data actual a les Àrees de Distribució Urbana de Mercaderies (DUM) de la ciutat de Barcelona
",barcelona
397,Estacions d'autobús de la ciutat de Barcelona,"
Estacions d’autobusos, parades d’autobús diürns, nocturns i a l’aeroport de la ciutat de Barcelona.
",barcelona
398,Estacions marítimes de la ciutat de Barcelona,"
Estacions marítimes de la ciutat de Barcelona
",barcelona
399,Estat  de les estacions del nou Bicing de la ciutat de Barcelona,"
Estat de les estacions del nou Bicing de la ciutat de Barcelona
",barcelona
400,Estat dels ports dels punts de recàrrega del vehicle elèctric de la ciutat de Barcelona,"
Estat dels ports dels punts de recàrrega del vehicle elèctric de la ciutat de Barcelona
",barcelona
401,Evolució  de les despeses corrents per polítiques de l'Ajuntament de Barcelona,"
Evolució de les despeses corrents per polítiques  de l'Ajuntament de Barcelona . La classificació es realitza per programes i els valors anuals liquidats  es mostren en milions d'euros i en termes de comptabilitat pressupostària.
",barcelona
402,Evolució de les despeses de l'Ajuntament de Barcelona,"
Evolució de les despeses de l'Ajuntament de Barcelona.  Es tracta d'una classificació econòmica i els valors liquidats són expressats en milions d'euros en termes de comptabilitat pressupostària.
",barcelona
403,Evolució de les despeses per capítols i articles de l'Ajuntament de Barcelona,"
Evolució de les despeses per capítols i articles de l'Ajuntament de Barcelona. Els valors liquidats són expressats en milions d'euros en termes de comptabilitat pressupostària.
",barcelona
404,Evolució de les despeses per classificació orgànica de l'Ajuntament de Barcelona,"
Evolució de les despeses per classificació orgànica de l'Ajuntament de Barcelona. Es mostren les dades individuals en termes de comptabilitat pressupostària i els valors liquidats s'expressen en milions d'euros.
",barcelona
405,Evolució del deute de l'Ajuntament de Barcelona,"
Evolució del deute de l'Ajuntament de Barcelona.  Es mostra en  valor absolut i en percentatge sobre els ingressos corrents considerats en termes del Sistema Europeu de Comptes (SEC). Els imports estan expressats en milions d'euros i en valors liquidats. No es consideren entitats dependents.
",barcelona
406,Evolució dels ingressos per capítols de l'Ajuntament de Barcelona,"
Evolució dels ingressos per capítols de l'Ajuntament de Barcelona. Els valors són expressats en milions d'euros liquidats en termes de comptabilitat pressupostària.
",barcelona
407,Evolució dels ingressos per capítols i articles de l'Ajuntament de Barcelona,"
Evolució dels ingressos per capítols i articles de l'Ajuntament de Barcelona. Els valors s'expressen en milions d'euros liquidats en termes de comptabilitat pressupostària.
",barcelona
408,"Evolució del resultat, els ingressos i les despeses de l'Ajuntament de Barcelona","
Evolució del resultat, els ingressos i  les despeses de l'Ajuntament de Barcelona en termes del Sistema Europeu de Comptes (SEC). Els imports estan expressats en milions d'euros i en valors liquidats.
",barcelona
409,Fitxes sobre ocupacions del mercat laboral a la ciutat de Barcelona,"
Les fitxes recullen per a cada ocupació el conjunt de tasques, responsabilitats i funcions que un individu exerceix en un lloc de treball i que requereix d'uns coneixements, d'una formació, d'unes competències personals i, en alguns casos, d'experiència professional.
",barcelona
410,Fonts de beure de la ciutat de Barcelona,"
Aquest conjunt de dades conté un llistat de les fonts públiques de beure de la ciutat de Barcelona amb el codi de la font (numero únic que identifica cada font i es troba en una placa en la mateixa font), model o nom quan en tenen (les fonts singulars normalment tenen un nom determinat, en el cas que la font no tingui nom s'indica el model o nom comercial de cada fabricant), adreça (carrer i numero, o nom de l'espai públic on la font esta ubicada) i  les coordenades de la seva ubicació.
",barcelona
411,Fonts ornamentals de la ciutat de Barcelona,"
Aquest conjunt de dades conté un llistat de les fonts ornamentals de la ciutat de Barcelona.
",barcelona
412,Avís d'incidències al trànsit de la ciutat de Barcelona,"
En cas que hi hagi una incidència en el trànsit de  la ciutat de Barcelona, apareix el text de la incidència en tres idiomes. En cas contrari el text és  ""Utilitzeu el transport públic"".
",barcelona
413,Funiculars a la ciutat de Barcelona,"
Funiculars a la ciutat de Barcelona
",barcelona
414,Galeries comercials de la ciutat de Barcelona,"
Galeries comercials de la ciutat de Barcelona
",barcelona
415,Grans centres comercials de la ciutat de Barcelona,"
Grans centres comercials de la ciutat de Barcelona
",barcelona
416,Grans establiments de la ciutat de Barcelona,"
Grans establiments de la ciutat de Barcelona
",barcelona
417,Preus d'oferta dels habitatges de la ciutat de Barcelona de segona mà. Estimació del preu de lloguer mensual per barris. Canvi de font,"
Preus d'oferta dels habitatges de segona mà. Estimació del preu de lloguer mensual per barris. Canvi de font
",barcelona
418,Sèrie anual Habitatges segona mà lloguer de la ciutat de Barcelona. Canvi de font,"
Sèrie anual Habitatges segona mà lloguer de la ciutat de Barcelona. Canvi de font
",barcelona
419,Estimació del preu de venda. Sèrie anual del preu/m2 de venda dels habitatges de la ciutat de Barcelona de segona mà per barris. 2007-2011. Evolució anual (Base 2008=100). Canvi de font,"
Estimació del preu de venda. Sèrie anual del preu/m2 de venda dels habitatges de segona mà per barris. 2007-2011. Evolució anual (Base 2008=100). Canvi de font
",barcelona
420,Estimació del preu de venda de la ciutat de Barcelona. Sèrie anual del preu/m2 de venda dels habitatges de segona mà per barris. 2007-2011. Taxa de variació interanual. Canvi de font,"
Estimació del preu de venda. Sèrie anual del preu/m2 de venda dels habitatges de segona mà per barris. 2007-2011. Taxa de variació interanual. Canvi de font
",barcelona
421,Estimació del preu de venda de la ciutat de Barcelona. Sèrie anual del preu/m2 de venda dels habitatges de segona mà per barris. 2007-2011. Distribució dels preus. (Base Barcelona=100). Canvi de font,"
Estimació del preu de venda. Sèrie anual del preu/m2 de venda dels habitatges de segona mà per barris. 2007-2011. Distribució dels preus. (Base Barcelona=100). Canvi de font
",barcelona
422,Evolució semestral de la ciutat de Barcelona(Base 2008=100). Canvi de font,"
Evolució semestral (Base 2008=100). Canvi de font
",barcelona
423,Estimació del preu de venda  de la ciutat de Barcelona. Sèrie semestral del preu/m2 de venda dels habitatges de segona mà per barris. 2007-2012. Taxa de variació interanual. Canvi de font,"
Estimació del preu de venda. Sèrie semestral del preu/m2 de venda dels habitatges de segona mà per barris. 2007-2012. Taxa de variació interanual. Canvi de font
",barcelona
424,Estimació del preu de venda de la ciutat de Barcelona. Sèrie semestral del preu/m2 de venda dels habitatges de segona mà per barris. 2007-2012. Distribució dels preus. (Base Barcelona=100). Canvi de font,"
Estimació del preu de venda. Sèrie semestral del preu/m2 de venda dels habitatges de segona mà per barris. 2007-2012. Distribució dels preus. (Base Barcelona=100). Canvi de font
",barcelona
425,Estimació del preu de venda de la ciutat de Barcelona. Sèrie anual de la mitjana del preu de venda dels habitatges de segona mà per barris. 2007-2011. Evolució anual (Base 2008=100). Canvi de font,"
Estimació del preu de venda. Sèrie anual de la mitjana del preu de venda dels habitatges de segona mà per barris. 2007-2011. Evolució anual (Base 2008=100). Canvi de font
",barcelona
426,Estimació del preu de venda de la ciutat de Barcelona. Sèrie anual de la mitjana del preu de venda dels habitatges de segona mà per barris. 2007-2011. Taxa de variació interanual. Canvi de font,"
Estimació del preu de venda. Sèrie anual de la mitjana del preu de venda dels habitatges de segona mà per barris. 2007-2011. Taxa de variació interanual. Canvi de font
",barcelona
427,Estimació del preu de venda. Sèrie anual de la mitjana del preu de venda dels habitatges de la ciutat de Barcelona de segona mà per barris. 2007-2011. Distribució dels preus. (Base Barcelona=100). Canvi de font,"
Estimació del preu de venda. Sèrie anual de la mitjana del preu de venda dels habitatges de segona mà per barris. 2007-2011. Distribució dels preus. (Base Barcelona=100). Canvi de font
",barcelona
428,Evolució del preu de venda de la ciutat de Barcelona. Dades en euros. Canvi de font,"
Evolució del preu de venda. Dades en euros. Canvi de font
",barcelona
429,Nombre d'observacions dels habitatges de la ciutat de Barcelona de segona mà. Canvi de font,"
Nombre d'observacions dels habitatges de segona mà. Canvi de font
",barcelona
430,Habitatges familiars de la ciutat de Barcelona situats en edificis destinats principalment a habitatge segons any de construcció,"
Habitatges familiars situats en edificis destinats principalment a habitatge segons trams d'anys de construcció .Dades del Cens de Població i Habitatges 2011
",barcelona
431,Habitatges familiars de la ciutat de Barcelona situats en edificis destinats principalment a habitatge segons tipologia,"
Habitatges familiars situats en edificis destinats principalment a habitatge segons tipologia de l'habitatge. Dades del Cens de Població i Habitatges. 2011
",barcelona
432,Habitatges de la ciutat de Barcelona principals segons anys de construcció,"
Habitatges principals segons anys de construcció .Dades del Cens d'Edificis 2011
",barcelona
433,Habitatges principals de la ciutat de Barcelona segons  estat de conservació de l'edifici,"
Habitatges principals segons  estat de conservació de l'edifici.Dades del Cens de Població i Habitatges 2011
",barcelona
434,Habitatges principals de la ciutat de Barcelona segons instal·lacions I: calefacció,"
Habitatges principals segons instal·lacions I: calefacció .Dades del Cens de Població i Habitatges 2011
",barcelona
435,"Habitatges principals de la ciutat de Barcelona segons instal·lacions II: aigua corrent, lavabo i bany","
Habitatges principals segons instal·lacions II: aigua corrent, lavabo i bany. Dades del Cens de Població i Habitatges 2011
",barcelona
436,Habitatges principals de la ciutat de Barcelona segons instal·lacions III: telèfon i internet,"
Habitatges principals segons instal·lacions III: telèfon i internet .Dades del Cens de Població i Habitatges 2011
",barcelona
437,Habitatges principals de la ciutat de Barcelona segons nombre d'habitacions,"
Habitatges principals segons nombre d'habitacions .Dades del Cens de Població i Habitatges 2011
",barcelona
438,Habitatges principals de la ciutat de Barcelona segons nombre de persones que hi viuen,"
Habitatges principals segons nombre de persones que hi viuen. Dades del Cens de Població i Habitatges 2011
",barcelona
439,Habitatges principals de la ciutat de Barcelona segons règim de tinença,"
Habitatges principals segons règim de tinença. Dades del Cens de Població i Habitatges 2011
",barcelona
440,Habitatges principals de la ciutat de Barcelona segons superfície útil,"
Habitatges principals segons trams de superfície útil. Dades del Cens de Població i Habitatges 2011
",barcelona
441,Habitatges en venda a Barcelona. Mitjana del preu d'oferta (€/m2) d'un habitatge  ,"
Estimació del preu mig d'oferta dels habitatges de segona mà  (€/m2) del portal Idealista.com per cada barri de la ciutat de  Barcelona.
",barcelona
442,Habitatges d'ús turístic de la ciutat de Barcelona,"
Habitatges d'ús turístic de la ciutat de Barcelona.
",barcelona
443,Informació dels horaris dels aparcaments en superfície a la ciutat de Barcelona,"
Informació dels horaris dels aparcaments regulats en superfície a la ciutat de Barcelona.
Es detallen les franges horàries que regeixen cada tipus de plaça.
",barcelona
444,Horts urbans de la ciutat de Barcelona,"
Horts urbans de la ciutat de Barcelona.
",barcelona
